Service,Source,URL,LastUpdated,UnitStatedBySource,SizeAssumption,LowUSD,TypicalUSD,HighUSD,Notes,Confidence
Chimney repair,Angi chimney repair cost guide,angi.com/articles/what-should-it-cost-replace-and-rebuild-masonry-chimney.htm,2025,per job,typical minor–standard repairs,"160","455","750","Angi normal range $160–$750 and average ~$455 for common chimney repairs.",H
Chimney repair,HomeAdvisor chimney repair cost guide,homeadvisor.com/cost/heating-and-cooling/chimney-repair,2025,per job,typical minor–standard repairs,"160","455","750","HomeAdvisor corroborates Angi normal range $160–$750 and ~$455 average.",H
Chimney repair,Angi chimney tuckpointing/repointing cost,angi.com/articles/how-much-does-chimney-tuckpointing-cost.htm,2025,$/sq ft chimney surface,assumes repointing only,"10","17","25","Angi reports chimney tuckpointing about $10–$25 per sq ft (avg ~$17).",H
Chimney repair,HomeAdvisor repointing/tuckpointing guide,homeadvisor.com/cost/heating-and-cooling/repoint-or-tuckpoint/,2025,$/sq ft chimney area,standard access,"10","18","25","HomeAdvisor: chimney tuckpointing $10–$25/sq ft; supports Angi.",M
Chimney repair,HomeGuide chimney repair cost,homeguide.com/costs/chimney-repair-cost,2023,per job,all repair types,"200","550","1200","HomeGuide: average repair range $200–$1,200 with ~$550 national average; supports job‑level floor/ceiling.",M
Chimney repair,Angi chimney rebuild cost,angi.com/articles/cost-replace-2-story-chimney.htm,2025,$/linear ft rebuild,partial→full rebuild,"40","145","250","Angi chimney rebuild $40–$250 per linear ft; treat as structural upper band.",H
Tuckpointing,HomeGuide tuckpointing/repointing cost,homeguide.com/costs/repointing-or-tuckpointing-cost,2023,$/sq ft wall area,exterior brick walls,"5","12","25","HomeGuide: tuckpointing $5–$25/sq ft (≤8'); $8–$30/sq ft (>8').",H
Tuckpointing,Fixr brick tuckpointing cost,fixr.com/costs/brick-tuckpointing,2022,$/sq ft wall area,≤8' vs >8',"5","10","25","Fixr (updated Aug 18, 2022): $5–$10/sq ft (≤8') and $10–$25/sq ft (>8').",M
Tuckpointing,HomeAdvisor repointing/tuckpointing guide,homeadvisor.com/cost/heating-and-cooling/repoint-or-tuckpoint/,2025,$/sq ft wall area,standard exterior brick,"5","15","25","HomeAdvisor: tuckpointing $5–$25/sq ft with ~$15 typical; strong national anchor.",H
Tuckpointing,Angi repointing brick cost guide,angi.com/articles/how-much-repointing-brick-cost.htm,2025,$/sq ft wall area,assumes repointing only,"14","15","20","Angi average $14–$15/sq ft for repointing; useful cross‑check for typical.",M
Brick repair,HomeGuide brick & masonry repair cost,homeguide.com/costs/repair-brick-masonry-work-cost,2023,$/sq ft damaged area,spot brick repair,"10","20","30","HomeGuide: brick repair $10–$30/sq ft incl labor+materials; updated 2023.",H
Brick repair,Fixr brick/stone siding repair,fixr.com/costs/repair-brick-or-stone-siding,2025,$/sq ft damaged area,veneer or small section repair,"10","15","20","Fixr: brick repair averages $10–$20/sq ft; veneer repair $7–$13/sq ft; section replacement $10–$14/sq ft.",H
Brick repair,Angi brick wall repair cost guide,angi.com/articles/how-much-does-repairing-brick-wall-cost.htm,2025,$/sq ft labor (plus materials),spot replacement,"20","30","40","Angi: labor $20–$40/sq ft; mortar-only repair $10–$20/sq ft.",H
Foundation masonry repair,HomeGuide foundation crack repair,homeguide.com/costs/foundation-crack-repair-cost,2025,per crack,non‑structural crack injection,"250","525","800","HomeGuide: $250–$800+ per crack; minor structural $1k–$5k+.",H
Foundation masonry repair,Angi foundation repair cost by issue,angi.com/articles/how-much-does-foundation-repair-cost.htm,2025,per crack,foundation crack repair,"250","525","800","Angi issue table lists foundation crack repair $250–$800.",M
Foundation masonry repair,Fixr foundation repair crack sealing,fixr.com/costs/repair-foundation,2025,per crack,epoxy/PU injection,"200","600","1000","Fixr: crack sealing/epoxy injection $200–$1,000 per crack.",M
Foundation masonry repair,Modernize foundation repair cost,modernize.com/foundations/repair-cost/by-state,2025,per crack,hairline surface crack sealing,"250","525","800","Modernize (updated Nov 21, 2025): hairline crack fixes $250–$800; corroborates non‑structural band.",M
